"final_hostname","final_ip","_time","final_ip_type","final_ip_subnet_network_type","final_ip_zone","final_ip_zone_location",metisCreatedDate,shortDescription,primarySupportGroup,primaryUsedBy
na,"10.1.210.164","2025-11-17T10:00:00.000+0100","Bosch Intranet",WLAN,NONE,NONE,"2025-09-09T14:13:24.000+00:00","n/a","Germany Middle Feuerbach","Jochen Boehringer (BD/BA-MS)"
ti1fe145132,"10.10.145.132","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-645_KRUPP_PRODUCTION_LINE","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M604 PKS-JBA Menger","ITM-ED-Ti CSG","Ludwig Vandermaesen (RBBE/MOE-RB)"
ti1fe145134,"10.10.145.134","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-645_KRUPP_PRODUCTION_LINE","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M604 PKS-JBA KKV","ITM-ED-Ti CSG","Ludwig Vandermaesen (RBBE/MOE-RB)"
ti1fe145135,"10.10.145.135","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-645_KRUPP_PRODUCTION_LINE","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M604 PKS-JBA Batch Label","ITM-ED-Ti CSG","Ludwig Vandermaesen (RBBE/MOE-RB)"
ti1fe145136,"10.10.145.136","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-645_KRUPP_PRODUCTION_LINE","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M604 PKS-JBA Polymer","ITM-ED-Ti CSG","Ludwig Vandermaesen (RBBE/MOE-RB)"
na,"10.10.151.39","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-0419_BURGER2","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M691 Buigautomaat 2 bendingline Fes in tray","ITM-ED-Ti CSG","Jurgen Hayen (MA-WS/QMM)"
"ti-x000h","10.10.175.10","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-175_BAND_45","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M372 B45 station 15 Fes im Adapter plc","ITM-ED-Ti CSG","Mike De Cuyper (RBBE/MFO-WB)"
"ti-x000i","10.10.175.15","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-175_BAND_45","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M372 B45 station 20 USS plc","ITM-ED-Ti CSG","Mike De Cuyper (RBBE/MFO-WB)"
"ti-x000l","10.10.175.22","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-175_BAND_45","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M372 B45 station 21 USS plc","ITM-ED-Ti CSG","Mike De Cuyper (RBBE/MFO-WB)"
"ti-x000o","10.10.175.29","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-175_BAND_45","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M372 B45 station 22 USS plc","ITM-ED-Ti CSG","Mike De Cuyper (RBBE/MFO-WB)"
"ti-x000r","10.10.175.36","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-175_BAND_45","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M372 B45 station 30 Gummi plc","ITM-ED-Ti CSG","Mike De Cuyper (RBBE/MFO-WB)"
"ti-x000u","10.10.175.43","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-175_BAND_45","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M372 B45 station 40 HF-Cover plc","ITM-ED-Ti CSG","Mike De Cuyper (RBBE/MFO-WB)"
"ti-x0013","10.10.175.56","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-175_BAND_45","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M372 B45 station 50 Spoiler OC plc","ITM-ED-Ti CSG","Mike De Cuyper (RBBE/MFO-WB)"
"ti-x0017","10.10.175.64","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-175_BAND_45","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M372 B45 station 55 Endkappe OC plc","ITM-ED-Ti CSG","Mike De Cuyper (RBBE/MFO-WB)"
"ti-x001e","10.10.175.75","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-175_BAND_45","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M372 B45 station 60 Spoiler IC plc","ITM-ED-Ti CSG","Mike De Cuyper (RBBE/MFO-WB)"
"ti-x001h","10.10.175.83","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-ACL-SL4-TI-175_BAND_45","BE_Ti_Tienen","2025-09-09T14:13:24.000+00:00","M372 B45 station 65 Endkappe IC plc","ITM-ED-Ti CSG","Mike De Cuyper (RBBE/MFO-WB)"
md1zp010,"10.100.141.209","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Manufacturing,"MFZ-SL4-MD-205_PRODUCTION_USS4L10","ES_Md_Madrid","2025-09-09T14:13:24.000+00:00","PC calibracionSoldadura TKS","ITM-AE-RBEM CSG","Miguel Angel Ramos Serrano (RBEM/TEF3)"
md0vm139,"10.100.147.18","2025-11-18T10:00:00.000+0100","Bosch Intranet",Server,NONE,NONE,"2025-09-09T14:13:24.000+00:00","Local ITM","ESX Server Service",
"af-vm001","10.104.160.164","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Server,"LRSZ-SL4-AF-30_SERVER-UNSECURE-VMS","DE_Af_Augsfeld","2025-09-09T14:13:24.000+00:00","Soflex-Server (Produktionsplanung Gehäusefertigung)","ESX Server Service",
"af-vm002","10.104.160.165","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Server,"LRSZ-SL4-AF-30_SERVER-UNSECURE-VMS","DE_Af_Augsfeld","2025-09-09T14:13:24.000+00:00","Soflex-Server (Produktionsplanung Gehäusefertigung)","ESX Server Service",
"af-vm003","10.104.160.166","2025-11-19T06:00:00.000+0100","Bosch Security Layer",Server,"LRSZ-SL4-AF-30_SERVER-UNSECURE-VMS","DE_Af_Augsfeld","2025-09-09T14:13:24.000+00:00","Soflex-Server (Produktionsplanung Gehäusefertigung)","ESX Server Service",
